recordId,merchantId,merchantName,network,mainCategory,subCategory,mainCategoryCn,subCategoryCn,mainCategoryBsr,subcategoryBsr,asin
"rec27wXzrFpMdH","380612","Wyze","Levanta","Surveillance DVR Kits","Surveillance DVR Kits","电子","智能家居设备","1","1","B0FN78TY8F"
"rec27wXzrFpNjS","362285","Nuwave-US Top Seller","Levanta","Kitchen & Dining","Toaster Ovens","家居","厨房电器","15693","25","B0CJMV9RZK"
"rec27wXzrFpTsh","362632","iDOO","Levanta","Home & Kitchen","Air Mattresses","家居","园艺用品","","2",""
"rec27wXzrFpV30","381881","BB Company","Wayward","Health & Household","Dietary Supplements","健康家居","膳食补充剂","","",""
"rec27wXzrFpVQW","383566","Petorldog","Wayward","Pet Supplies","Dog Supplies","宠物用品","狗狗用品","","",""
"rec27wXzrFpXKU","385442","Rhino USA, Inc.","Levanta","Automotive","Towing Products","汽车用品","拖车与牵引用品","","",""
"rec27wXzrFq1Jk","380639","Bedsure","Levanta","Home & Kitchen","Bedding & Pet Supplies","家居","床上用品 / 宠物用品","","",""
"rec27wXzrFpLRy","363072","SIHOO","Levanta","Home & Kitchen","Home Office Desk Chairs","家居","人体工学椅","8777","20","B07GNDDNMW"
"rec27wXzrFpSvC","380550","Apolosign","Levanta","Electronics","Portable TVs","电子","便携电视","3646","1","B0F2YD3VV5"
"rec27wXzrFpWZ4","362149","SteelSeries","Levanta","Electronics","Gaming Accessories","电子","游戏外设","","","B0F11G7G48"
"rec27wXzrFpOCc","363250","Plank+Beam","Levanta","Home & Kitchen","Furniture","家居","家具","","","B0CTB1259J"
"rec27wXzrFpLAU","380813","MERACHFITNESS","Levanta","Sports & Outdoors","Exercise Bikes","运动户外","健身器材","12345","42","B0C1X9L9VZ"
"rec27wXzrFpLMn","363249","BettaOfficial","Levanta","Patio, Lawn & Garden","Robotic Pool Cleaners","智能家居/户外设备","泳池清洁类3C机电产品","","3",""
"rec27wXzrFpPUZ","363152","Valerion","Levanta","Electronics","Video Projectors","电子","家庭影院投影","","159",""
"rec27wXzrFpRdX","362371","Audien Hearing","Levanta","Health & Household","Hearing Aids","健康家居","耳机","4703","1","B0FRH8KR29"
"rec27wXzrFpYm4","362568","Spytec GPS","Levanta","Automotive","GPS Trackers","汽车用品","GPS 定位器","","",""
"rec27wXzrFpLdD","380642","Skin Research Institute","Levanta","Beauty & Personal Care","Hair Dryers","个护美妆","美发电器","26712","89","B0FTTFKTMZ"
"rec27wXzrFpSWh","384570","Strider","Levanta","Toys & Games","Kids' Balance Bikes","母婴/玩具","儿童骑行","2676","9",""
"rec27wXzrFpTcr","369258","CAPSTAR","Levanta","Pet Supplies","Dog Stain Removers","宠物用品","宠物驱虫","31","1","B00CKFL93K"
"rec27wXzrFpKgP","369227","True Classic","Levanta","Clothing, Shoes & Jewelry","Men's Novelty T-Shirts","服饰","男装","106","1","B0BJZ8WJ86"
"rec27wXzrFpMSp","363471","SteelSeries","Levanta","Electronics","Computer Headsets","电子","游戏外设","","3","B0F11G7G48"
"rec27wXzrFpPuE","381969","Bonafide","Wayward","Health & Household","Vaginal Moisturizers","健康家居","女性健康/更年期/私密护理","","6",""
"rec27wXzrFpVdZ","381857","Babysense","Wayward","Baby","Baby Monitors","母婴","婴儿监视器","","",""
"rec27wXzrFq24k","362867","LifeSeasons, Inc","Levanta","Health & Household","Health & Household","健康家居","草本补剂","19650","19650","B07K3F2Z9P"
"rec27wXzrFpRK6","381366","WaterBoy","Levanta","Health & Household","Sports Nutrition Electrolyte Replacement Drinks","健康家居","电解质补充饮料","1702","27","B0FKKBRSWC"
"rec27wXzrFpQwN","363228","REDTIGER","Levanta","Electronics","Car On-Dash Mounted Cameras","汽车用品","行车记录仪","229","2","B098WVKF19"
"rec27wXzrFpY6e","369263","Aiper DE","Levanta","Patio, Lawn & Garden","Robotic Pool Cleaners","庭院 / 草坪 / 花园","泳池清洁机器人","","",""
"rec27wXzrFpYRz","380814","Bits And Pieces USA","Levanta","Toys & Games","Learning & Education Toys","玩具","益智玩具","","",""
"rec27wXzrFpPpu","380767","Typhur US","Levanta","Kitchen & Dining","Air Fryers","家居","智能厨房电器","6269","39","B0CKP6Y6KB"
"rec27wXzrFpNzS","362934","Britax","Levanta","Baby","Child Safety Booster Car Seats","母婴","儿童出行安全","","11",""
"rec27wXzrFpPeE","383441","Ogee","Wayward","Beauty & Personal Care","Face Highlighters & Luminizers","个护美妆","洁净有机美妆/护肤","1698","3",""
"rec27wXzrFpRZW","380864","Project Cloud","Levanta","Home & Kitchen","Women's Flat Sandals","家居","香薰","","7",""
"rec27wXzrFpSfM","363296","Ulike","Levanta","Beauty & Personal Care","Light Hair Removal Devices","个护美妆","家用脱毛美容仪","3157","2",""
"rec27wXzrFpThB","363129","BCAN","Levanta","Sports & Outdoors","Fitness Trampolines","运动户外","健身配件","710","1","B0BPSQ4XNN"
"rec27wXzrFpX4o","369389","Race&Herd","Archer","Pet Supplies","Dog Toys","宠物用品","狗狗玩具","","",""
"rec27wXzrFpXFz","380756","Babysense DE","Levanta","Baby","Baby Monitors","母婴","婴儿监视器","","",""
